,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
10,5805,Avalanche,AVAX,avalanche,727,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,392801989.3221098,442148359.3221098,False,,11,,,,2024-05-23T03:48:00.000Z,39.97666541718028,565081236.189744,-15.9005,-0.09268182,-1.76367113,14.24853784,2.50097154,-25.20705155,9.98661372,15702913702.332804,0.6087,28613247062.24,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
11,5994,Shiba Inu,SHIB,shiba-inu,815,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271875539945.5,589520005549000.4,False,,12,,,,2024-05-23T03:48:00.000Z,2.5362070529347118e-05,720959813.8438725,-37.2164,0.28707432,-3.29731995,0.52762764,-4.41336087,-9.80663858,167.29985118,14945154868.404755,0.5794,14951447959.19,,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-05-23 03:50:35.880803
12,6636,Polkadot,DOT,polkadot-new,767,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,13,1448205031.8076234,10938879578.30692,,2024-05-23T03:49:00.000Z,7.5534053107474755,227355303.15776184,-11.1785,0.46957514,-0.63716994,8.2345098,2.1629488,-16.43457062,2.24924622,10861445085.10377,0.4211,10861445085.1,,2024-05-23T03:49:00.000Z,,,,,,2024-05-23 03:50:35.880803
13,1958,TRON,TRX,tron,978,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87422913383.47249,87422913823.53351,True,,14,71659659264.0,8561391685.563669,,2024-05-23T03:48:00.000Z,0.11947296112618687,301381133.5451118,-4.3753,0.14003217,-3.32649775,-5.67292046,7.21436318,-0.29062878,-13.79064678,10444674332.20161,0.4049,10444674384.78,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
14,1831,Bitcoin Cash,BCH,bitcoin-cash,891,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19709396.875,19709396.875,False,,15,,,,2024-05-23T03:48:00.000Z,507.66938536711706,452686539.6841244,-17.0414,-0.1435009,-0.33971343,10.72651459,-1.09067349,12.30228056,94.64985428,10005857397.487827,0.3879,10661057092.71,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
15,1975,Chainlink,LINK,chainlink,1767,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,16,,,,2024-05-23T03:48:00.000Z,16.33427026349742,483579733.9169101,-11.2094,0.1616268,-3.19343724,16.73610227,5.76409274,-9.62238187,-8.76598319,9589849589.067167,0.3718,16334270263.5,,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-05-23 03:50:35.880803
16,6535,NEAR Protocol,NEAR,near-protocol,409,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1078471968.0,1191989276.0,False,,17,,,,2024-05-23T03:49:00.000Z,7.997755092020938,740938591.1716992,19.8905,0.13414482,2.83617711,-2.07090113,14.02439184,22.19449434,149.89280438,8625354673.673841,0.3344,9533238301.76,,2024-05-23T03:49:00.000Z,,,,,,2024-05-23 03:50:35.880803
17,3890,Polygon,MATIC,polygon,1390,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9906946308.23905,10000000000.0,False,,18,,,,2024-05-23T03:48:00.000Z,0.730423950143374,377277256.7892219,1.0485,0.44723818,0.34371558,6.29947829,-0.67985232,-25.64440279,-25.58759078,7236270856.322283,0.2805,7304239501.43,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
18,2,Litecoin,LTC,litecoin,1191,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,74560137.3575049,84000000.0,False,,19,,,,2024-05-23T03:49:00.000Z,86.54380250887212,476414461.9747827,-10.8575,0.22588609,-1.26578977,4.88732434,1.96775853,-0.31363327,26.52922214,6452717802.502283,0.2501,7269679410.75,,2024-05-23T03:49:00.000Z,,,,,,2024-05-23 03:50:35.880803
19,8916,Internet Computer,ICP,internet-computer,244,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'collectibles-nfts', 'defi', 'privacy', 'interoperability', 'smart-contracts', 'dao', 'wallet', 'storage', 'polychain-capital-portfolio', 'governance', 'launchpad', 'lending-borowing', 'metaverse', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'internet-computer-ecosystem', 'bitcoin-ecosystem', 'real-world-assets', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'depin']",,464269825.69205356,518890856.8796298,True,,20,464270091.2969477,5959161107.133017,,2024-05-23T03:48:00.000Z,12.835548140708314,105545405.73832726,-17.1728,0.32930204,-3.06738339,3.55174243,-14.08351335,-6.54587221,2.7602786,5959157697.948611,0.231,6660248573.25,,2024-05-23T03:48:00.000Z,8916.0,ICP,ICP,internet-computer,ryjl3-tyaaa-aaaaa-aaaba-cai,2024-05-23 03:50:35.880803
20,24478,Pepe,PEPE,pepe,374,2023-04-17T06:18:08.000Z,['memes'],420690000000000.0,420689899999994.8,420689899999994.8,False,,21,420690000000000.0,5690312819.113932,,2024-05-23T03:48:00.000Z,1.3526142335482023e-05,2908115495.1997466,-25.8792,-0.20546501,-4.62484724,31.1949392,98.14944078,85.38594607,1035.70469827,5690311466.499628,0.2206,5690312819.11,,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,2024-05-23 03:50:35.880803
21,7083,Uniswap,UNI,uniswap,1022,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",1000000000.0,598930294.71,1000000000.0,False,,22,,,1.08275918,2024-05-23T03:48:00.000Z,9.40375251749285,232761534.76522788,-22.6081,0.49163595,-1.49578815,27.20998822,15.46383109,-19.42379515,29.84168835,5632192266.681897,0.2183,9403752517.49,5201703562.71899,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2024-05-23 03:50:35.880803
